,tra_lr_mean,tra_itrdice_0_DSC1,tra_itrdice_0_DSC2,tra_itrdice_0_DSC3,tra_itrdice_0_DSC_mean,tra_itrloss_0_mean,tra_itrdice_1_DSC1,tra_itrdice_1_DSC2,tra_itrdice_1_DSC3,tra_itrdice_1_DSC_mean,tra_itrloss_1_mean,val_itrdice_0_DSC1,val_itrdice_0_DSC2,val_itrdice_0_DSC3,val_itrdice_0_DSC_mean,val_itrloss_0_mean,val_itrdice_1_DSC1,val_itrdice_1_DSC2,val_itrdice_1_DSC3,val_itrdice_1_DSC_mean,val_itrloss_1_mean
0,5e-07,0.005683939438313246,0.08478844165802002,0.0058997925370931625,0.03212405787780881,1.4824952804125269,0.004669900052249432,0.08229187875986099,0.003797418437898159,0.03025306575000286,1.4750842461219198,2.036908836045015e-11,0.031052693724632263,0.002557544969022274,0.011203412904674541,1.5109233856201172,2.0702647929304874e-11,0.03029600903391838,6.131207763715452e-10,0.010098669889247269,1.499735951423645
1,2.045e-05,0.031733449548482895,0.10772167146205902,0.00698637031018734,0.04881383044024309,1.3323160134829006,0.033109717071056366,0.10582641512155533,0.004194767214357853,0.047710299802323185,1.3194570431342494,0.0029420419596135616,0.04893660545349121,0.012096774764358997,0.021325140725821257,1.288901925086975,3.289473693435241e-10,0.04984959214925766,0.007858546450734138,0.019236046309646388,1.2819859981536865
2,4.04e-05,0.08935550600290298,0.22268223762512207,0.018955791369080544,0.11033117833236854,1.1236581142132098,0.09071517735719681,0.2280212640762329,0.006139733828604221,0.10829205842067798,1.1173383896167466,0.018930431455373764,0.09130237996578217,0.012956017628312111,0.04106294301648935,1.1097689867019653,0.017032720148563385,0.08659819513559341,0.014154870994389057,0.039261928759515285,1.1118897199630737
3,6.0349999999999996e-05,0.43669769167900085,0.5163191556930542,0.3271048069000244,0.4267072180906932,0.9840855690149163,0.44543638825416565,0.5364993810653687,0.3950088620185852,0.45898154377937317,0.9779439797768227,0.08324439823627472,0.18523003160953522,0.2831578850746155,0.18387743830680847,0.9920335412025452,0.0731472596526146,0.19034311175346375,0.24895881116390228,0.17081639418999353,0.9941374063491821
4,8.03e-05,0.5709739923477173,0.689190149307251,0.8056727647781372,0.6886123021443685,0.8800870748666617,0.5709975957870483,0.693738579750061,0.8105339407920837,0.6917567054430643,0.8759134182563194,0.28501826524734497,0.3298245668411255,0.4037500023841858,0.33953094482421875,0.9153953194618225,0.24375000596046448,0.32560616731643677,0.32591092586517334,0.29842236638069153,0.9176861643791199
5,0.00010025,0.5881706476211548,0.708223283290863,0.8226674199104309,0.7063537836074829,0.805372420641092,0.588230311870575,0.7101933360099792,0.8245956897735596,0.7076731125513712,0.8005801301736096,0.525519847869873,0.4127659499645233,0.5866426229476929,0.5083094735940298,0.8261330127716064,0.48341232538223267,0.4051966369152069,0.5855855941772461,0.4913981854915619,0.8277279138565063
6,0.0001202,0.6093440651893616,0.7142125964164734,0.8296176195144653,0.7177247603734335,0.7266793947953444,0.6227826476097107,0.7145741581916809,0.8288783431053162,0.7220783829689026,0.7217488774886498,0.5447618961334229,0.3553571403026581,0.211035817861557,0.37038495143254596,0.7574371695518494,0.5077720284461975,0.3930899500846863,0.17289844155311584,0.3579201400279999,0.7597320079803467
7,0.00014015,0.6399911046028137,0.7216841578483582,0.8334697484970093,0.7317150036493937,0.6387017231721145,0.6462135910987854,0.7219295501708984,0.8336144685745239,0.7339192032814026,0.6331021318068872,0.5656565427780151,0.3477098047733307,0.5609548091888428,0.49144038558006287,0.6544983386993408,0.5703275799751282,0.3850148320198059,0.3700787425041199,0.44180705149968463,0.6566278338432312
8,0.0001601,0.6271061897277832,0.7273073196411133,0.8304735422134399,0.7282956838607788,0.5528475811848276,0.6324775218963623,0.7279876470565796,0.8309189081192017,0.7304613590240479,0.5478229055037864,0.6114864945411682,0.40375587344169617,0.6673427820205688,0.560861716667811,0.5651017427444458,0.5931677222251892,0.39799928665161133,0.6666666865348816,0.552611231803894,0.5668743848800659
9,0.00018005,0.6508271098136902,0.7307510375976562,0.8315218687057495,0.7377000053723654,0.4706869936906374,0.6573917269706726,0.7310820817947388,0.831854522228241,0.7401094436645508,0.46593482907001793,0.4667503237724304,0.41948992013931274,0.6514851450920105,0.5125751296679179,0.4713265001773834,0.4235033392906189,0.41947853565216064,0.6284622550010681,0.4904813766479492,0.4728861153125763
