,tra_lr_mean,tra_sup_loss_mean,tra_sup_dice_DSC1,tra_sup_dice_DSC2,tra_sup_dice_DSC3,tra_sup_dice_DSC_mean,tra_itrdice_0_DSC1,tra_itrdice_0_DSC2,tra_itrdice_0_DSC3,tra_itrdice_0_DSC_mean,tra_itrloss_0_mean,tra_itrdice_1_DSC1,tra_itrdice_1_DSC2,tra_itrdice_1_DSC3,tra_itrdice_1_DSC_mean,tra_itrloss_1_mean,val_loss_mean,val_dice_DSC1,val_dice_DSC2,val_dice_DSC3,val_dice_DSC_mean,val_itrdice_0_DSC1,val_itrdice_0_DSC2,val_itrdice_0_DSC3,val_itrdice_0_DSC_mean,val_itrloss_0_mean,val_itrdice_1_DSC1,val_itrdice_1_DSC2,val_itrdice_1_DSC3,val_itrdice_1_DSC_mean,val_itrloss_1_mean
0,5e-07,2.958935249768771,0.005285582039505243,0.08050648868083954,0.004276743158698082,0.030022937959680956,0.005847398191690445,0.08490647375583649,0.0064049288630485535,0.0323862669368585,1.483526868086595,0.041357479989528656,0.06287070363759995,0.021589744836091995,0.041939309487740196,1.475408370678241,2.938410679499309,0.004167505539953709,0.07780364900827408,0.0029056589119136333,0.028292271153380472,0.005083775147795677,0.08216094225645065,0.005107923876494169,0.030784213760246832,1.472941999965244,0.04465845599770546,0.05620091035962105,0.01824931427836418,0.03970289354523023,1.4654686795340643
1,2.045e-05,2.7012939453125004,0.021917888894677162,0.09548064321279526,0.004562242887914181,0.040653591665128865,0.023017749190330505,0.10124634951353073,0.007919383235275745,0.044061160646378994,1.3489441578204817,0.05063678324222565,0.06378679722547531,0.026036012917757034,0.04681986446181933,1.3523497856580298,2.5090374575720893,0.036658771336078644,0.11128198355436325,0.00619227671995759,0.0513776772034665,0.03809328377246857,0.11534827947616577,0.010318855755031109,0.05458680633455515,1.249879715177748,0.05936909466981888,0.06319395452737808,0.041491180658340454,0.05468474328517914,1.2591577503416276
2,4.04e-05,2.3225794645456173,0.03615538403391838,0.16455627977848053,0.003240905934944749,0.06798418991578122,0.05345211178064346,0.15445354580879211,0.00969823356717825,0.07253463038553794,1.156361744954036,0.05577349662780762,0.08463133871555328,0.023856090381741524,0.05475364190836748,1.1662177140896135,2.2128148661719425,0.06093895807862282,0.17639432847499847,0.008591609075665474,0.08197496520976226,0.08467083424329758,0.13618096709251404,0.03479214012622833,0.08521464715401332,1.1012996912002562,0.06168685108423233,0.08847351372241974,0.024312810972332954,0.058157725259661674,1.1115151723225916
3,6.0349999999999996e-05,2.0834736365538378,0.2430936098098755,0.22911368310451508,0.03751695528626442,0.16990808273355165,0.2563652992248535,0.1721087098121643,0.07118400186300278,0.16655267030000687,1.0381438053571264,0.05621404945850372,0.09451792389154434,0.013357975520193577,0.05469664962341388,1.045329831196712,1.981729671690199,0.6335779428482056,0.22655624151229858,0.11558632552623749,0.3252401699622472,0.4702548682689667,0.21055757999420166,0.19105897843837738,0.29062380890051526,0.9875706248813204,0.07258469611406326,0.0762837827205658,0.01545674353837967,0.05477507412433624,0.9941590574052599
4,8.03e-05,1.8893532808010394,0.4380907416343689,0.5277773141860962,0.4626333713531494,0.47616714239120483,0.442562073469162,0.5125391483306885,0.5005238652229309,0.4852083623409271,0.9426078347059397,0.049036767333745956,0.13320516049861908,0.10510704666376114,0.09578299149870872,0.9467454442611111,1.8123828358120389,0.7342954874038696,0.6843200922012329,0.815497636795044,0.7447044054667155,0.5302050113677979,0.6390910744667053,0.7531601190567017,0.640818734963735,0.9043374657630923,0.05874156206846237,0.12641845643520355,0.437782347202301,0.20764745523532233,0.9080453660753041
5,0.00010025,1.7423601572330187,0.4942184090614319,0.6657129526138306,0.7658805251121521,0.6419372955958048,0.4921706020832062,0.6644207239151001,0.7657778859138489,0.6407897373040518,0.8700491015727706,0.04420088976621628,0.1695118248462677,0.4477147161960602,0.2204758102695147,0.8723110593282261,1.6776400751537748,0.7559123635292053,0.7787673473358154,0.875478982925415,0.8033862312634786,0.5647249221801758,0.7219523191452026,0.8171933889389038,0.7012902100880941,0.8375728527704873,0.036557167768478394,0.15597110986709595,0.5184655785560608,0.2369979520638784,0.8400672276814779
6,0.0001202,1.614947423568139,0.5251483917236328,0.6850104331970215,0.7907803058624268,0.666979710261027,0.5256614089012146,0.6855898499488831,0.7904805541038513,0.6672439376513163,0.8065925011268026,0.041599638760089874,0.1824641078710556,0.507568895816803,0.24387754748264948,0.8083549151053796,1.5494749095704818,0.7665104269981384,0.7944223284721375,0.8801665306091309,0.8136997620264689,0.5918232202529907,0.742565393447876,0.8248457312583923,0.7197447816530863,0.7737634685304429,0.03009764663875103,0.1724865585565567,0.5545222163200378,0.25236880717178184,0.7757114516364204
7,0.00014015,1.481221796916081,0.5500727891921997,0.6931873559951782,0.7889936566352844,0.6774179339408875,0.5451846122741699,0.6931084394454956,0.7905064821243286,0.6762665112813314,0.7399059350673969,0.0556669719517231,0.1676991879940033,0.5536558628082275,0.25900734091798466,0.7413158554297228,1.413604844941033,0.7709537744522095,0.8052003383636475,0.8888967633247375,0.8216836253801981,0.5976293087005615,0.7506493926048279,0.8371809124946594,0.7284865379333496,0.7059738556543986,0.03720706328749657,0.16519637405872345,0.6215780377388,0.27466049169500667,0.7076309972339205
8,0.0001601,1.3469113716712364,0.5455586314201355,0.6960115432739258,0.7948518395423889,0.6788073380788168,0.5448572635650635,0.6963427066802979,0.7949047684669495,0.6787015795707703,0.6727028489112856,0.0703120082616806,0.16610927879810333,0.5874007344245911,0.2746073404947917,0.6742085200089675,1.2763917737536963,0.775216281414032,0.8018119931221008,0.8819041848182678,0.8196441531181335,0.5957323312759399,0.758334755897522,0.8322731256484985,0.7287800709406534,0.6373422371016605,0.039006803184747696,0.18084721267223358,0.6166260242462158,0.27882668003439903,0.6390495326783923
9,0.00018005,1.2110623451379625,0.5679978728294373,0.6958234906196594,0.797743022441864,0.6871881286303202,0.553946316242218,0.6970500349998474,0.7972990274429321,0.6827651262283325,0.6047296102230366,0.07817556709051132,0.1913791298866272,0.5976647138595581,0.2890731369455655,0.6063327294129595,1.1386109034220377,0.77675861120224,0.8068863153457642,0.8949767351150513,0.8262072205543518,0.5987750291824341,0.7612261772155762,0.8469825387001038,0.735661248366038,0.5684969266255696,0.05191146954894066,0.23287680745124817,0.657829225063324,0.3142058340211709,0.5701139741473729
