,tra_lr_mean,tra_sup_loss_mean,tra_sup_dice_DSC1,tra_sup_dice_DSC2,tra_sup_dice_DSC3,tra_sup_dice_DSC_mean,val_loss_mean,val_dice_DSC1,val_dice_DSC2,val_dice_DSC3,val_dice_DSC_mean
0,1e-07,1.4122326053954941,0.0042932904325425625,0.07391725480556488,0.00591049250215292,0.028040345913420122,1.412054710918003,0.002546100178733468,0.06679550558328629,0.0010472971480339766,0.023462967636684578
1,4.09e-06,1.411564356015053,0.003736417507752776,0.07430298626422882,0.005936750676482916,0.027992051482821505,1.4109704971313477,0.00253100018016994,0.06636951863765717,0.0009957063011825085,0.02329874170633654
2,8.079999999999999e-06,1.4099620128119434,0.0037841135635972023,0.07423215359449387,0.0053774635307490826,0.027797910229613382,1.4086920473310682,0.002269541146233678,0.06751289963722229,0.0010483430232852697,0.023610261268913746
3,1.207e-05,1.407316229961536,0.003641400020569563,0.07452443987131119,0.007575794123113155,0.028580544671664636,1.4052422761917112,0.0018380181863904,0.0698850080370903,0.0009950865060091019,0.024239370909829933
4,1.606e-05,1.403211662430821,0.00345142325386405,0.07632912695407867,0.010366811417043209,0.030049120541661978,1.4006396108203465,0.0020844214595854282,0.07191187888383865,0.0009639000054448843,0.02498673344962299
5,2.005e-05,1.397480116950142,0.0033874111250042915,0.07742294669151306,0.008092423900961876,0.029634260572493076,1.393277904722426,0.0025151120498776436,0.07370640337467194,0.0009117820300161839,0.02571109915152192
6,2.404e-05,1.389026799687633,0.003713719081133604,0.07897861301898956,0.009922993369400501,0.03087177515650789,1.3830276727676394,0.0026473449543118477,0.07645850628614426,0.0023192395456135273,0.02714169692868988
7,2.803e-05,1.377545327316095,0.004389568231999874,0.07770193368196487,0.013154562562704086,0.031748688158889614,1.3695856279797025,0.0030554283875972033,0.07834377884864807,0.0031632680911570787,0.028187491775800783
8,3.2019999999999995e-05,1.3610162985177687,0.005378823261708021,0.07893618941307068,0.022116882726550102,0.0354772984671096,1.3508778492609659,0.004601249471306801,0.07689870148897171,0.005151710473001003,0.028883887144426506
9,3.601e-05,1.3395375355526258,0.00665061641484499,0.07798434048891068,0.03267497941851616,0.03910331210742394,1.3271921475728357,0.005219851620495319,0.0757909044623375,0.011576746590435505,0.03086250089108944
10,3.9999999999999996e-05,1.3123351353922008,0.007442463655024767,0.07690787315368652,0.015824295580387115,0.03339154412969947,1.2952793995539347,0.005768307950347662,0.0754702016711235,0.002463962184265256,0.027900823935245473
11,3.9999999999999996e-05,1.2783047946882835,0.009352750144898891,0.07962160557508469,0.004793536849319935,0.03125596418976784,1.2591616577572293,0.005746100563555956,0.0813872218132019,0.0018654492450878024,0.029666257207281888
12,3.998784699903096e-05,1.2426432838410504,0.012227585539221764,0.08270977437496185,0.006127248518168926,0.03368820281078418,1.2243566009733415,0.003079910296946764,0.07958576828241348,0.0016577286878600717,0.028107802422406774
13,3.995140280268349e-05,1.2078315998301101,0.020776351913809776,0.04883284494280815,0.006012688856571913,0.025207295237729948,1.1903672986560399,0.0017716317670419812,0.05840936303138733,0.0012804294237866998,0.020487141407405336
14,3.989071181259705e-05,1.1755386756526103,0.04383601248264313,0.018654217943549156,0.008809753693640232,0.023766661373277504,1.1589857975641888,0.0008585324394516647,0.06617303192615509,0.00046893683611415327,0.0225001670672403
15,3.9805847971394324e-05,1.1455231901304217,0.06270652264356613,0.018356045708060265,0.009177670814096928,0.030080079721907776,1.1297822634379069,0.00027747280546464026,0.0724114328622818,6.573627615580335e-05,0.02425154731463408
16,3.9696914672593547e-05,1.116228641551218,0.08101470023393631,0.01886201836168766,0.012474078685045242,0.03745026576022307,1.101367563671536,0.00010974858014378697,0.0700850784778595,1.4315901353256777e-05,0.023403047653118847
17,3.956404463463942e-05,1.0883125574500465,0.1054539903998375,0.0244477279484272,0.01484992541372776,0.048250547920664154,1.0728658623165555,4.017400897282641e-06,0.06668313592672348,2.6414327294332907e-06,0.022229931586783398
18,3.940739973920612e-05,1.0604832540323696,0.1312183439731598,0.02286686562001705,0.019782809540629387,0.05795600637793541,1.0453568988376192,3.089545862167142e-05,0.06102507933974266,3.2606733384454856e-06,0.020353078490567594
19,3.922717083396946e-05,1.0337245751310276,0.12989458441734314,0.02595748007297516,0.017923817038536072,0.057925293842951454,1.0199835512373183,1.1085990458958861e-10,0.04690738022327423,1.1554872336727584e-10,0.01563579348322762
20,3.9023577500088314e-05,1.009877715213799,0.1310850828886032,0.02667343243956566,0.01792336255311966,0.05856062596042951,0.996861795584361,6.739473064953927e-06,0.04264681041240692,5.700654583051801e-06,0.014219750180018309
21,3.879686778467887e-05,0.9870355824629473,0.14713193476200104,0.024935880675911903,0.019159456714987755,0.0637424240509669,0.9749003860685559,1.1094052759785811e-10,0.03528871759772301,1.1554872336727584e-10,0.011762905941404085
22,3.854731789860741e-05,0.9662705188916045,0.15946146845817566,0.028333231806755066,0.019777502864599228,0.06919073437650998,0.9560695899857414,1.1096684682243563e-10,0.03763158619403839,1.1554872336727584e-10,0.012543862140184653
23,3.8275231879969885e-05,0.9490016969265763,0.16934819519519806,0.0297870934009552,0.01792336255311966,0.0723528837164243,0.9403692921002705,1.1096295410295554e-10,0.032361771911382675,1.1554872336727584e-10,0.010787257379298117
24,3.798094122366838e-05,0.9339944142618294,0.1662560999393463,0.031817615032196045,0.019159456714987755,0.07241105722884338,0.9270823346243966,1.1096559088263902e-10,0.02950410172343254,1.1554872336727584e-10,0.009834700649982285
