,tra_lr_mean,tra_sup_loss_mean,tra_sup_dice_DSC1,tra_sup_dice_DSC2,tra_sup_dice_DSC3,tra_sup_dice_DSC_mean,tra_itrdice_0_DSC1,tra_itrdice_0_DSC2,tra_itrdice_0_DSC3,tra_itrdice_0_DSC_mean,tra_itrdice_1_DSC1,tra_itrdice_1_DSC2,tra_itrdice_1_DSC3,tra_itrdice_1_DSC_mean,val_loss_mean,val_dice_DSC1,val_dice_DSC2,val_dice_DSC3,val_dice_DSC_mean,val_itrdice_0_DSC1,val_itrdice_0_DSC2,val_itrdice_0_DSC3,val_itrdice_0_DSC_mean,val_itrdice_1_DSC1,val_itrdice_1_DSC2,val_itrdice_1_DSC3,val_itrdice_1_DSC_mean
0,5e-07,1.408381972048017,0.027868319302797318,0.06169930100440979,0.03283095359802246,0.04079952463507652,0.03331844136118889,0.0666530504822731,0.038641203194856644,0.046204231679439545,0.02792505733668804,0.06168515980243683,0.033026356250047684,0.040878857796390854,1.4081572718090483,0.03490258753299713,0.057581827044487,0.03366246074438095,0.042048958440621696,0.025087378919124603,0.0610053688287735,0.04079092666506767,0.04229455813765526,0.032202281057834625,0.057775478810071945,0.03140752390027046,0.04046176125605901
1,2.045e-05,1.3364155193169915,0.04370904713869095,0.0837949886918068,0.04364101216197014,0.057048349330822624,0.0443529337644577,0.062099795788526535,0.07960372418165207,0.06201881791154543,0.04381640627980232,0.08383609354496002,0.04390863701701164,0.05718704561392466,1.2841908242967395,0.06018794700503349,0.08554405719041824,0.040731269866228104,0.062154424687226616,0.08799023926258087,0.06608486920595169,0.07108178734779358,0.07505229860544205,0.051068149507045746,0.08669720590114594,0.0399189256131649,0.05922809367378553
2,4.04e-05,1.2460039636971043,0.014047762379050255,0.08608148247003555,0.06751909106969833,0.05588277863959471,0.04527254402637482,0.055139198899269104,0.07228901982307434,0.05756692091623942,0.014722048304975033,0.08964303880929947,0.07354779541492462,0.05930429417639971,1.2206371757719252,0.014592979103326797,0.10064636170864105,0.17687572538852692,0.09737168873349826,0.04608168080449104,0.06762047857046127,0.09810937941074371,0.07060384626189868,0.011920309625566006,0.09946047514677048,0.1683737188577652,0.0932515012100339
3,6.0349999999999996e-05,1.187016959543581,0.06404263526201248,0.08941013365983963,0.13761606812477112,0.09702294568220775,0.016888942569494247,0.062132641673088074,0.09082890301942825,0.05661682908733686,0.062296655029058456,0.09082391113042831,0.1393890678882599,0.09750321134924889,1.1545648548338152,0.0010958821512758732,0.108580082654953,0.28959181904792786,0.1330892612847189,0.006827897857874632,0.09379810094833374,0.1654539257287979,0.08869330817833543,0.0280260369181633,0.07638353109359741,0.24309058487415314,0.11583338429530461
4,8.03e-05,1.114665657281876,0.1294228732585907,0.08823350071907043,0.31783026456832886,0.17849554618199667,0.03158050775527954,0.07613221555948257,0.11588528007268906,0.07453266779581706,0.12514755129814148,0.08753836899995804,0.31980177760124207,0.17749589929978052,1.0733980258305864,1.109060551729435e-10,0.16005150973796844,0.5478513836860657,0.2359676311783134,0.013947887346148491,0.1124955490231514,0.2339887171983719,0.12014405118922393,0.11659195274114609,0.13503125309944153,0.5114530324935913,0.254358746111393
5,0.00010025,1.0280180100673513,0.14687851071357727,0.16392257809638977,0.49972906708717346,0.2701767186323802,0.09106440842151642,0.09385863691568375,0.21518513560295105,0.13336939364671707,0.1438187211751938,0.1647339165210724,0.49992281198501587,0.26949181656042737,0.9854053285386829,0.00023326586233451962,0.30493107438087463,0.6442227363586426,0.3164623588672839,0.09880682080984116,0.1392565667629242,0.3456634283065796,0.194575605293115,0.12131397426128387,0.278207004070282,0.601335883140564,0.3336189538240433
6,0.0001202,0.9472610772023967,0.15724004805088043,0.39319175481796265,0.6159809231758118,0.38880424201488495,0.12989602982997894,0.1117413192987442,0.41757646203041077,0.21973793705304465,0.1548420935869217,0.39402854442596436,0.6159309148788452,0.3882671842972438,0.9123447193039789,0.008406896144151688,0.569733202457428,0.7725203633308411,0.45022015397747356,0.1434977650642395,0.05177577584981918,0.47306492924690247,0.22277949005365372,0.13475072383880615,0.5092691779136658,0.7051669955253601,0.44972896575927734
7,0.00014015,0.8865887186041583,0.1626787632703781,0.5234208703041077,0.682916522026062,0.45633871853351593,0.14958089590072632,0.12373608350753784,0.49972835183143616,0.2576817770799001,0.1618068516254425,0.5229280591011047,0.6828652620315552,0.4558667242527008,0.8663392570283677,0.1551728993654251,0.6153478026390076,0.72895747423172,0.4998260587453842,0.1434977650642395,0.11506933718919754,0.5089360475540161,0.25583438326915103,0.15311299264431,0.5685661435127258,0.6823532581329346,0.4680107980966568
8,0.0001601,0.8475452611843749,0.279421329498291,0.5724811553955078,0.7135787010192871,0.5218270619710287,0.12515756487846375,0.11477730423212051,0.5492940545082092,0.2630763078729312,0.2818860709667206,0.5723724961280823,0.7135260701179504,0.5225948790709177,0.8334343208207027,0.44784989953041077,0.685192883014679,0.7720733284950256,0.6350387036800385,0.01801387034356594,0.09924761950969696,0.5440747141838074,0.2204454013456901,0.35269683599472046,0.6310765147209167,0.7219435572624207,0.5685723026593527
9,0.00018005,0.821817748156595,0.4289091229438782,0.6016220450401306,0.7239513397216797,0.5848275025685629,0.08004115521907806,0.10398457199335098,0.5953060984611511,0.2597772752245267,0.4291612505912781,0.6016812920570374,0.7239246964454651,0.5849224130312601,0.8112162470817567,0.6555108428001404,0.684934139251709,0.7927727699279785,0.711072583993276,0.009584729559719563,0.07892969250679016,0.5687860250473022,0.21910014903793731,0.48593661189079285,0.6245388388633728,0.7374569177627563,0.6159774561723074
